op_name,magnitude,probability,mean_val_acc,std_val_acc,mean_top5_acc,std_top5_acc,n_seeds
RandomErasing,0.237,0.3374,41.8,0.0,67.5,0.0,1
ColorJitter,0.4814,0.4616,41.0,0.0,66.0,0.0,1
GaussianBlur,0.0223,0.5756,40.5,0.0,66.2,0.0,1
RandomPerspective,0.0488,0.4036,40.3,0.0,65.4,0.0,1
GaussianBlur,0.0105,0.2106,40.2,0.0,65.5,0.0,1
RandomPerspective,0.1928,0.1938,39.9,0.0,64.1,0.0,1
RandomErasing,0.1328,0.3653,39.8,0.0,66.5,0.0,1
GaussianNoise,0.0834,0.7634,39.7,0.0,64.4,0.0,1
RandomPerspective,0.0458,0.2333,39.4,0.0,67.3,0.0,1
RandomResizedCrop,0.3915,0.4667,39.3,0.0,64.3,0.0,1
GaussianBlur,0.2244,0.5165,39.2,0.0,63.7,0.0,1
GaussianNoise,0.0658,0.2159,39.2,0.0,65.5,0.0,1
RandomResizedCrop,0.6387,0.5989,39.2,0.0,64.5,0.0,1
GaussianBlur,0.1059,0.3835,39.1,0.0,64.5,0.0,1
GaussianBlur,0.1635,0.3744,39.0,0.0,65.0,0.0,1
GaussianNoise,0.4495,0.3083,38.9,0.0,65.3,0.0,1
RandomPerspective,0.0591,0.1826,38.9,0.0,65.8,0.0,1
RandomPerspective,0.0714,0.3559,38.8,0.0,65.5,0.0,1
RandomResizedCrop,0.5118,0.5294,38.5,0.0,65.8,0.0,1
RandomResizedCrop,0.4181,0.4032,38.4,0.0,64.1,0.0,1
GaussianBlur,0.2275,0.5667,38.3,0.0,63.7,0.0,1
RandomResizedCrop,0.6139,0.7854,38.1,0.0,65.7,0.0,1
GaussianNoise,0.3913,0.7501,37.9,0.0,65.3,0.0,1
RandomResizedCrop,0.7169,0.4827,37.4,0.0,65.1,0.0,1
