weight_decay,label_smoothing,seed,fold_idx,final_train_acc,final_val_acc,best_val_acc,best_epoch,train_val_gap,is_underfitting,runtime_sec,timestamp
0.0005,0.0,42,0,99.93,35.6,35.6,100,64.33,True,82.4,2025-12-27T02:10:42
0.0005,0.0,123,0,99.94,35.6,36.5,76,64.34,True,80.9,2025-12-27T02:12:05
0.0005,0.0,456,0,99.98,36.1,36.2,85,63.88,True,80.7,2025-12-27T02:13:27
0.0005,0.05,42,0,99.97,34.5,35.9,96,65.47,True,80.4,2025-12-27T02:14:50
0.0005,0.05,123,0,99.99,35.6,36.0,86,64.39,True,82.6,2025-12-27T02:16:14
0.0005,0.05,456,0,99.97,35.6,36.2,69,64.37,True,81.8,2025-12-27T02:17:38
0.0005,0.1,42,0,99.97,35.2,35.7,73,64.77,True,83.6,2025-12-27T02:19:03
0.0005,0.1,123,0,99.96,37.3,37.3,100,62.66,True,81.0,2025-12-27T02:20:26
0.0005,0.1,456,0,99.99,35.3,36.5,79,64.69,True,83.3,2025-12-27T02:21:51
0.001,0.0,42,0,99.96,37.8,38.3,92,62.16,False,79.4,2025-12-27T02:23:13
0.001,0.0,123,0,99.92,36.4,36.8,85,63.52,False,81.4,2025-12-27T02:24:36
0.001,0.0,456,0,99.98,36.7,37.0,89,63.28,False,80.0,2025-12-27T02:25:58
0.001,0.05,42,0,99.98,38.9,39.2,88,61.08,False,82.7,2025-12-27T02:27:22
0.001,0.05,123,0,99.97,36.9,38.3,81,63.07,False,82.1,2025-12-27T02:28:46
0.001,0.05,456,0,99.98,36.0,36.7,97,63.98,False,82.1,2025-12-27T02:30:10
0.001,0.1,42,0,99.96,36.9,37.2,90,63.06,False,82.5,2025-12-27T02:31:35
0.001,0.1,123,0,99.99,37.0,37.0,76,62.99,False,82.0,2025-12-27T02:32:59
0.001,0.1,456,0,99.99,36.2,36.7,99,63.79,False,80.1,2025-12-27T02:34:21
0.005,0.0,42,0,95.46,40.3,40.7,94,55.16,False,81.6,2025-12-27T02:35:44
0.005,0.0,123,0,95.28,38.7,39.2,98,56.58,False,79.7,2025-12-27T02:37:06
0.005,0.0,456,0,95.27,39.2,39.5,93,56.07,False,79.6,2025-12-27T02:38:27
0.005,0.05,42,0,95.82,39.0,39.9,93,56.82,False,83.5,2025-12-27T02:39:53
0.005,0.05,123,0,95.48,39.8,40.1,95,55.68,False,82.9,2025-12-27T02:41:18
0.005,0.05,456,0,95.78,38.9,39.4,99,56.88,False,82.4,2025-12-27T02:42:42
0.005,0.1,42,0,96.26,40.2,40.3,96,56.06,False,82.5,2025-12-27T02:44:06
0.005,0.1,123,0,95.76,39.2,39.4,97,56.56,False,82.9,2025-12-27T02:45:31
0.005,0.1,456,0,96.03,37.8,38.2,93,58.23,False,82.4,2025-12-27T02:46:56
0.01,0.0,42,0,58.4,34.6,35.3,99,23.8,False,79.9,2025-12-27T02:48:17
0.01,0.0,123,0,56.88,34.4,34.4,100,22.48,False,81.1,2025-12-27T02:49:40
0.01,0.0,456,0,56.34,32.8,33.0,96,23.54,False,79.5,2025-12-27T02:51:02
0.01,0.05,42,0,56.32,33.0,33.4,98,23.32,False,81.0,2025-12-27T02:52:25
0.01,0.05,123,0,57.14,35.8,35.9,99,21.34,False,81.6,2025-12-27T02:53:48
0.01,0.05,456,0,58.03,35.8,35.8,100,22.23,False,83.0,2025-12-27T02:55:13
0.01,0.1,42,0,54.44,33.7,33.8,98,20.74,False,83.6,2025-12-27T02:56:39
0.01,0.1,123,0,54.22,33.1,33.3,97,21.12,False,80.8,2025-12-27T02:58:01
0.01,0.1,456,0,55.19,34.0,34.5,99,21.19,False,81.2,2025-12-27T02:59:24
0.01,0.1,42,0,6.82,1.7,1.7,2,5.12,False,27.4,2025-12-29T20:34:13
