phase,op_name,magnitude,probability,seed,fold_idx,val_acc,val_loss,top5_acc,train_acc,train_loss,epochs_run,best_epoch,early_stopped,runtime_sec,timestamp,error,stable_score
PhaseA,RandomResizedCrop,0.6371,0.7072,42,0,37.5,2.533585,68.0,69.8333,1.219332,40,40,False,41.19,2025-12-27T03:03:05,,36.9333
PhaseA,RandomResizedCrop,0.9289,0.4557,42,0,36.3,2.547495,65.9,64.5,1.453872,40,38,False,36.91,2025-12-27T03:03:42,,36.1333
PhaseA,RandomResizedCrop,0.7105,0.5989,42,0,39.0,2.456128,68.4,68.4778,1.271558,40,39,False,38.72,2025-12-27T03:04:21,,38.3
PhaseA,RandomResizedCrop,0.4193,0.3133,42,0,36.0,2.688633,64.7,90.3556,0.496164,40,38,False,37.31,2025-12-27T03:04:58,,35.7
PhaseA,RandomResizedCrop,0.5309,0.6198,42,0,37.6,2.578494,67.3,73.4111,1.078055,40,38,False,38.75,2025-12-27T03:05:37,,37.3333
PhaseA,RandomResizedCrop,0.7535,0.4172,42,0,37.1,2.592924,65.9,76.5444,1.024345,40,39,False,38.13,2025-12-27T03:06:15,,36.9667
PhaseA,RandomResizedCrop,0.8171,0.7584,42,0,36.2,2.554363,66.1,55.3222,1.740032,40,40,False,40.14,2025-12-27T03:06:55,,35.2667
PhaseA,RandomResizedCrop,0.5942,0.5294,42,0,38.4,2.56998,67.1,78.7,0.919866,40,40,False,38.67,2025-12-27T03:07:34,,37.7
PhaseA,RandomResizedCrop,0.541,0.5576,42,0,37.1,2.636082,65.3,79.6333,0.88533,40,39,False,39.17,2025-12-27T03:08:13,,36.8
PhaseA,RandomResizedCrop,0.868,0.355,42,0,37.3,2.603797,66.0,77.9778,1.00724,40,40,False,37.71,2025-12-27T03:08:51,,36.3667
PhaseA,RandomResizedCrop,0.8114,0.6957,42,0,37.3,2.476855,67.7,59.4667,1.578708,40,40,False,39.76,2025-12-27T03:09:31,,36.6
PhaseA,RandomResizedCrop,0.4839,0.4667,42,0,35.0,2.64118,66.6,85.2778,0.67629,40,39,False,38.42,2025-12-27T03:10:09,,34.7667
PhaseA,RandomResizedCrop,0.4409,0.7695,42,0,38.0,2.549849,66.4,79.8889,0.873076,40,40,False,40.0,2025-12-27T03:10:50,,37.5
PhaseA,RandomResizedCrop,0.6997,0.518,42,0,36.0,2.555613,67.1,73.3222,1.119416,40,40,False,37.71,2025-12-27T03:11:27,,35.8
PhaseA,RandomResizedCrop,0.9109,0.6617,42,0,36.0,2.514973,66.9,55.6333,1.742084,40,40,False,38.65,2025-12-27T03:12:06,,35.7667
PhaseA,RandomResizedCrop,0.6528,0.376,42,0,37.5,2.592723,65.3,83.3778,0.769679,40,40,False,37.13,2025-12-27T03:12:43,,37.1667
PhaseA,RandomResizedCrop,0.6647,0.6476,42,0,37.2,2.489461,68.2,70.0333,1.221726,40,40,False,38.69,2025-12-27T03:13:22,,36.9333
PhaseA,RandomResizedCrop,0.8883,0.3903,42,0,35.2,2.626005,64.4,74.1667,1.100893,40,40,False,37.19,2025-12-27T03:13:59,,34.9667
PhaseA,RandomResizedCrop,0.6877,0.7854,42,0,37.2,2.507238,66.6,60.5667,1.521307,40,39,False,39.6,2025-12-27T03:14:39,,37.0333
PhaseA,RandomResizedCrop,0.4636,0.5017,42,0,35.7,2.650578,65.2,85.0556,0.692412,40,39,False,38.24,2025-12-27T03:15:17,,35.3
PhaseA,RandomResizedCrop,0.4894,0.6795,42,0,37.7,2.592415,66.3,79.4556,0.876717,40,40,False,38.3,2025-12-27T03:15:56,,37.2333
PhaseA,RandomResizedCrop,0.7822,0.4827,42,0,38.4,2.54507,66.1,68.6444,1.287125,40,38,False,38.39,2025-12-27T03:16:34,,37.8
PhaseA,RandomResizedCrop,0.8626,0.572,42,0,37.1,2.523902,67.5,62.9889,1.504336,40,40,False,39.14,2025-12-27T03:17:13,,36.3
PhaseA,RandomResizedCrop,0.5701,0.341,42,0,36.8,2.668312,65.0,87.1667,0.63595,40,39,False,37.61,2025-12-27T03:17:51,,36.4
PhaseA,RandomResizedCrop,0.5822,0.7422,42,0,36.9,2.517525,66.4,69.7889,1.218507,40,39,False,40.16,2025-12-27T03:18:31,,36.3333
PhaseA,RandomResizedCrop,0.8398,0.5454,42,0,36.8,2.492781,67.4,64.8667,1.414666,40,39,False,39.13,2025-12-27T03:19:11,,36.3667
PhaseA,RandomResizedCrop,0.7654,0.6342,42,0,36.4,2.494444,67.2,61.4111,1.529225,40,38,False,39.23,2025-12-27T03:19:50,,36.0333
PhaseA,RandomResizedCrop,0.5083,0.4032,42,0,35.4,2.674728,65.2,86.5778,0.653408,40,40,False,37.72,2025-12-27T03:20:28,,35.1
PhaseA,RandomResizedCrop,0.4138,0.5848,42,0,36.4,2.688255,64.5,86.2667,0.656316,40,39,False,39.01,2025-12-27T03:21:07,,36.1333
PhaseA,RandomResizedCrop,0.7396,0.3275,42,0,36.2,2.631657,65.4,82.8111,0.793815,40,40,False,37.23,2025-12-27T03:21:44,,35.6333
PhaseA,RandomResizedCrop,0.9344,0.7231,42,0,36.4,2.538617,67.0,52.1667,1.889194,40,40,False,39.64,2025-12-27T03:22:24,,35.7333
PhaseA,RandomResizedCrop,0.6079,0.4394,42,0,36.9,2.595948,65.6,81.7444,0.81887,40,40,False,38.63,2025-12-27T03:23:03,,36.1667
PhaseA,RandomRotation,0.2155,0.6072,42,0,35.1,2.544839,66.0,54.8444,1.722334,40,39,False,40.5,2025-12-27T03:23:43,,34.7333
PhaseA,RandomRotation,0.4808,0.3557,42,0,37.5,2.487622,66.9,55.2222,1.717844,40,39,False,40.04,2025-12-27T03:24:23,,37.3
PhaseA,RandomRotation,0.2823,0.4989,42,0,36.6,2.483838,67.0,56.2,1.658801,40,40,False,40.82,2025-12-27T03:25:04,,36.1667
PhaseA,RandomRotation,0.0175,0.2133,42,0,38.0,2.466818,69.1,61.6556,1.466462,40,40,False,39.59,2025-12-27T03:25:44,,37.5667
PhaseA,RandomRotation,0.119,0.5198,42,0,36.5,2.513072,66.0,58.6222,1.584429,40,40,False,40.3,2025-12-27T03:26:24,,35.9
PhaseA,RandomRotation,0.3214,0.3172,42,0,37.1,2.525603,67.8,57.1111,1.616596,40,40,False,40.02,2025-12-27T03:27:04,,36.4333
PhaseA,RandomRotation,0.3792,0.6584,42,0,34.9,2.570847,65.6,52.7889,1.803654,40,39,False,40.93,2025-12-27T03:27:45,,34.5
PhaseA,RandomRotation,0.1765,0.4294,42,0,37.8,2.46505,69.0,58.0333,1.590736,40,40,False,39.92,2025-12-27T03:28:25,,36.9
PhaseA,RandomRotation,0.1282,0.4576,42,0,37.2,2.485373,67.6,58.4111,1.59187,40,40,False,40.94,2025-12-27T03:29:06,,36.9
PhaseA,RandomRotation,0.4255,0.255,42,0,36.0,2.61585,64.3,49.7889,1.906713,40,37,False,39.83,2025-12-27T03:29:46,,35.5333
PhaseA,RandomRotation,0.374,0.5957,42,0,35.3,2.521548,67.5,54.2111,1.731294,40,39,False,40.38,2025-12-27T03:30:27,,35.2333
PhaseA,RandomRotation,0.0763,0.3667,42,0,38.8,2.466149,68.1,61.0333,1.501635,40,40,False,39.99,2025-12-27T03:31:07,,38.0667
PhaseA,RandomRotation,0.0371,0.6695,42,0,37.5,2.529234,67.2,59.6778,1.539956,40,40,False,40.43,2025-12-27T03:31:47,,36.9333
PhaseA,RandomRotation,0.2724,0.418,42,0,36.4,2.562904,66.2,56.0556,1.671519,40,40,False,39.74,2025-12-27T03:32:27,,36.2667
PhaseA,RandomRotation,0.4645,0.5617,42,0,36.4,2.52908,67.2,52.1111,1.818719,40,39,False,40.35,2025-12-27T03:33:08,,35.5
PhaseA,RandomRotation,0.2298,0.276,42,0,36.9,2.539906,66.5,53.8333,1.739417,40,38,False,39.46,2025-12-27T03:33:47,,36.7667
PhaseA,RandomRotation,0.2407,0.5476,42,0,37.5,2.498366,67.8,57.6778,1.625929,40,40,False,40.43,2025-12-27T03:34:28,,37.4
PhaseA,RandomRotation,0.4439,0.2903,42,0,37.2,2.434292,67.8,55.8667,1.669691,40,39,False,40.06,2025-12-27T03:35:08,,36.5
