phase,op_name,magnitude,probability,seed,fold_idx,val_acc,val_loss,top5_acc,train_acc,train_loss,epochs_run,best_epoch,early_stopped,runtime_sec,timestamp,error,stable_score
PhaseB,GaussianNoise,0.2546,0.333,42,0,38.1,2.829049,65.0,97.3,0.197709,200,180,False,91.24,2025-12-27T18:02:38,,-1.0
PhaseB,GaussianNoise,0.0948,0.4239,42,0,40.3,2.64135,68.2,99.3222,0.104912,200,191,False,94.94,2025-12-27T18:04:13,,-1.0
PhaseB,GaussianNoise,0.0295,0.6418,42,0,39.9,2.688637,65.9,99.3667,0.103299,200,191,False,91.49,2025-12-27T18:05:44,,-1.0
PhaseB,RandomResizedCrop,0.7105,0.5989,42,0,37.7,2.713638,64.4,94.0667,0.290021,200,191,False,93.62,2025-12-27T18:07:18,,-1.0
PhaseB,RandomResizedCrop,0.8883,0.3903,42,0,38.2,2.634586,66.8,91.0222,0.407456,200,190,False,89.94,2025-12-27T18:08:48,,-1.0
PhaseB,RandomResizedCrop,0.4636,0.5017,42,0,37.4,2.753257,64.2,98.0889,0.130487,200,190,False,90.52,2025-12-27T18:10:19,,-1.0
PhaseB,RandomRotation,0.2298,0.276,42,0,39.2,2.657614,66.9,99.2,0.112006,200,200,False,92.15,2025-12-27T18:11:51,,-1.0
PhaseB,GaussianBlur,0.0813,0.5795,42,0,39.9,2.692161,66.8,99.1667,0.103286,200,191,False,129.79,2025-12-27T18:14:01,,-1.0
PhaseB,RandomResizedCrop,0.6528,0.376,42,0,37.4,2.765735,65.1,95.8778,0.2206,200,195,False,89.86,2025-12-27T18:15:31,,-1.0
PhaseB,RandomResizedCrop,0.5822,0.7422,42,0,38.4,2.692447,65.7,96.6667,0.18733,200,196,False,95.47,2025-12-27T18:17:06,,-1.0
PhaseB,RandomResizedCrop,0.6877,0.7854,42,0,37.4,2.735167,65.3,92.4778,0.364267,200,186,False,95.59,2025-12-27T18:18:42,,-1.0
PhaseB,RandomResizedCrop,0.868,0.355,42,0,37.7,2.682467,66.3,89.8,0.475251,200,181,False,91.3,2025-12-27T18:20:13,,-1.0
PhaseB,RandomResizedCrop,0.4894,0.6795,42,0,37.4,2.757278,64.8,97.7111,0.159145,200,187,False,95.43,2025-12-27T18:21:49,,-1.0
PhaseB,RandomResizedCrop,0.5701,0.341,42,0,37.4,2.734113,64.5,96.9111,0.173162,200,190,False,89.0,2025-12-27T18:23:18,,-1.0
PhaseB,GaussianBlur,0.4255,0.255,42,0,37.3,2.760273,64.7,99.3444,0.109088,200,200,False,107.31,2025-12-27T18:25:05,,-1.0
PhaseB,ColorJitter,0.2575,0.4239,42,0,41.4,2.612064,68.3,98.8333,0.134251,200,192,False,100.57,2025-12-27T18:26:46,,-1.0
PhaseB,RandomResizedCrop,0.7396,0.3275,42,0,38.1,2.701725,66.4,92.2222,0.355654,200,179,False,87.6,2025-12-27T18:28:14,,-1.0
PhaseB,RandomResizedCrop,0.9109,0.6617,42,0,38.0,2.608475,66.8,88.5444,0.520794,200,199,False,92.3,2025-12-27T18:29:46,,-1.0
PhaseB,RandomRotation,0.1656,0.6422,42,0,39.0,2.772435,65.5,99.0444,0.118211,200,195,False,92.45,2025-12-27T18:31:18,,-1.0
PhaseB,GaussianBlur,0.2407,0.5476,42,0,36.6,2.817012,66.5,97.4111,0.192955,200,183,False,126.3,2025-12-27T18:33:25,,-1.0
PhaseB,RandomPerspective,0.3404,0.155,42,0,40.7,2.668736,67.9,99.0778,0.12353,200,192,False,95.0,2025-12-27T18:35:00,,-1.0
PhaseB,ColorJitter,0.8102,0.4083,42,0,39.1,2.670501,66.3,93.9444,0.34415,200,197,False,97.49,2025-12-27T18:36:37,,-1.0
PhaseB,RandomResizedCrop,0.4409,0.7695,42,0,38.9,2.76655,64.2,96.7889,0.197091,200,179,False,93.49,2025-12-27T18:38:11,,-1.0
PhaseB,GaussianNoise,0.0482,0.8634,42,0,39.0,2.727692,65.9,99.5333,0.094554,200,192,False,94.53,2025-12-27T18:39:46,,-1.0
PhaseB,RandomResizedCrop,0.6647,0.6476,42,0,38.3,2.683969,66.6,95.0444,0.256027,200,191,False,92.22,2025-12-27T18:41:18,,-1.0
PhaseB,RandomResizedCrop,0.4193,0.3133,42,0,37.5,2.746253,64.5,98.4333,0.108619,200,200,False,88.45,2025-12-27T18:42:47,,-1.0
PhaseB,RandomRotation,0.1282,0.4576,42,0,39.4,2.720217,68.0,98.6778,0.132776,200,188,False,92.0,2025-12-27T18:44:19,,-1.0
PhaseB,RandomResizedCrop,0.7535,0.4172,42,0,37.2,2.728166,66.3,94.0889,0.291755,200,194,False,88.81,2025-12-27T18:45:48,,-1.0
PhaseB,RandomRotation,0.3792,0.6584,42,0,40.4,2.723628,64.1,98.7333,0.140393,200,200,False,93.11,2025-12-27T18:47:21,,-1.0
PhaseB,RandomPerspective,0.1724,0.5072,42,0,38.3,2.799971,64.9,99.3444,0.110955,200,199,False,108.18,2025-12-27T18:49:09,,-1.0
PhaseB,RandomResizedCrop,0.541,0.5576,42,0,36.6,2.73608,64.7,97.7444,0.14782,200,196,False,91.37,2025-12-27T18:50:40,,-1.0
PhaseB,RandomGrayscale,0.5,0.2083,42,0,39.3,2.701694,65.8,94.2,0.323283,200,190,False,90.79,2025-12-27T18:52:11,,-1.0
PhaseB,RandomResizedCrop,0.7654,0.6342,42,0,38.4,2.693855,66.7,92.8222,0.34679,200,191,False,92.4,2025-12-27T18:53:44,,-1.0
PhaseB,RandomRotation,0.0763,0.3667,42,0,38.7,2.699137,67.0,99.3222,0.103204,200,191,False,91.7,2025-12-27T18:55:16,,-1.0
PhaseB,RandomResizedCrop,0.5309,0.6198,42,0,38.5,2.69707,64.7,97.4444,0.160381,200,193,False,93.0,2025-12-27T18:56:49,,-1.0
PhaseB,RandomResizedCrop,0.6997,0.518,42,0,38.5,2.692384,65.0,94.9889,0.262262,200,191,False,90.77,2025-12-27T18:58:19,,-1.0
PhaseB,ColorJitter,0.128,0.3159,42,0,39.8,2.669197,67.0,99.3444,0.107488,200,194,False,97.04,2025-12-27T18:59:57,,-1.0
PhaseB,ColorJitter,0.5359,0.5616,42,0,39.6,2.648374,67.4,95.8889,0.262932,200,190,False,101.88,2025-12-27T19:01:39,,-1.0
PhaseB,RandomResizedCrop,0.7822,0.4827,42,0,38.0,2.701274,65.2,92.0111,0.365055,200,187,False,91.1,2025-12-27T19:03:10,,-1.0
PhaseB,ColorJitter,0.2301,0.7554,42,0,41.2,2.625744,67.6,98.9,0.13093,200,197,False,106.26,2025-12-27T19:04:56,,-1.0
PhaseB,RandomPerspective,0.2571,0.2172,42,0,39.8,2.645652,67.6,99.2333,0.117106,200,200,False,98.5,2025-12-27T19:06:35,,-1.0
PhaseB,RandomResizedCrop,0.9289,0.4557,42,0,38.4,2.631324,66.0,88.8556,0.499653,200,189,False,90.79,2025-12-27T19:08:06,,-1.0
PhaseB,RandomErasing,0.0581,0.3017,42,0,40.1,2.654889,67.5,97.7667,0.16817,200,188,False,95.69,2025-12-27T19:09:41,,-1.0
PhaseB,RandomErasing,0.1622,0.5072,42,0,39.1,2.675011,67.8,97.8111,0.176354,200,197,False,98.37,2025-12-27T19:11:20,,-1.0
PhaseB,GaussianNoise,0.1174,0.6091,42,0,39.9,2.711285,66.2,98.5333,0.146378,200,184,False,94.12,2025-12-27T19:12:54,,-1.0
PhaseB,RandomRotation,0.3322,0.5342,42,0,39.1,2.825314,64.3,96.5778,0.226723,200,184,False,92.93,2025-12-27T19:14:27,,-1.0
PhaseB,RandomPerspective,0.2258,0.3989,42,0,37.4,2.730939,66.5,99.1889,0.116583,200,197,False,104.6,2025-12-27T19:16:12,,-1.0
PhaseB,RandomRotation,0.0126,0.4848,42,0,38.1,2.712395,66.2,99.3444,0.104427,200,191,False,92.46,2025-12-27T19:17:44,,-1.0
PhaseB,GaussianBlur,0.0126,0.4848,42,0,38.1,2.712395,66.2,99.3444,0.104427,200,191,False,123.06,2025-12-27T19:19:47,,-1.0
PhaseB,RandomResizedCrop,0.5942,0.5294,42,0,37.9,2.684618,65.9,96.8,0.178593,200,200,False,91.78,2025-12-27T19:21:19,,-1.0
PhaseB,RandomResizedCrop,0.8114,0.6957,42,0,38.9,2.661332,66.6,91.5444,0.39147,200,196,False,93.52,2025-12-27T19:22:53,,-1.0
PhaseB,RandomResizedCrop,0.6371,0.7072,42,0,38.2,2.702552,65.3,95.8556,0.230478,200,191,False,94.52,2025-12-27T19:24:27,,-1.0
PhaseB,RandomPerspective,0.065,0.4795,42,0,40.1,2.667074,66.5,99.1556,0.113656,200,187,False,107.46,2025-12-27T19:26:15,,-1.0
PhaseB,ColorJitter,0.222,0.5,42,0,41.2,2.611804,67.6,98.9556,0.125459,200,195,False,100.55,2025-12-27T19:27:56,,-1.0
PhaseB,RandomPerspective,0.0297,0.5695,42,0,39.7,2.690191,67.2,98.4778,0.142552,200,184,False,110.4,2025-12-27T19:29:46,,-1.0
PhaseB,RandomResizedCrop,0.8626,0.572,42,0,38.0,2.650539,67.5,90.6111,0.42882,200,198,False,91.29,2025-12-27T19:31:17,,-1.0
PhaseB,GaussianBlur,0.0984,0.3032,42,0,39.2,2.760758,65.0,98.9556,0.123072,200,186,False,111.84,2025-12-27T19:33:09,,-1.0
PhaseB,GaussianNoise,0.2029,0.7171,42,0,38.2,2.715647,67.6,98.8,0.127269,200,186,False,94.22,2025-12-27T19:34:44,,-1.0
PhaseB,RandomGrayscale,0.5,0.166,42,0,37.9,2.740522,64.9,93.1667,0.35749,200,186,False,91.11,2025-12-27T19:36:15,,-1.0
PhaseB,ColorJitter,0.1594,0.8634,42,0,40.0,2.637201,68.1,98.8444,0.128207,200,194,False,108.51,2025-12-27T19:38:04,,-1.0
