op_name,magnitude,probability,mean_val_acc,std_val_acc,mean_top5_acc,std_top5_acc,mean_train_acc,std_train_acc,mean_runtime_sec,n_seeds
ColorJitter,0.2575,0.4239,41.4,0.0,68.3,0.0,98.8333,0.0,100.57,1
ColorJitter,0.2301,0.7554,41.2,0.0,67.6,0.0,98.9,0.0,106.26,1
ColorJitter,0.222,0.5,41.2,0.0,67.6,0.0,98.9556,0.0,100.55,1
RandomPerspective,0.3404,0.155,40.7,0.0,67.9,0.0,99.0778,0.0,95.0,1
RandomRotation,0.3792,0.6584,40.4,0.0,64.1,0.0,98.7333,0.0,93.11,1
GaussianNoise,0.0948,0.4239,40.3,0.0,68.2,0.0,99.3222,0.0,94.94,1
RandomErasing,0.0581,0.3017,40.1,0.0,67.5,0.0,97.7667,0.0,95.69,1
RandomPerspective,0.065,0.4795,40.1,0.0,66.5,0.0,99.1556,0.0,107.46,1
ColorJitter,0.1594,0.8634,40.0,0.0,68.1,0.0,98.8444,0.0,108.51,1
GaussianBlur,0.0813,0.5795,39.9,0.0,66.8,0.0,99.1667,0.0,129.79,1
GaussianNoise,0.0295,0.6418,39.9,0.0,65.9,0.0,99.3667,0.0,91.49,1
GaussianNoise,0.1174,0.6091,39.9,0.0,66.2,0.0,98.5333,0.0,94.12,1
RandomPerspective,0.2571,0.2172,39.8,0.0,67.6,0.0,99.2333,0.0,98.5,1
ColorJitter,0.128,0.3159,39.8,0.0,67.0,0.0,99.3444,0.0,97.04,1
RandomPerspective,0.0297,0.5695,39.7,0.0,67.2,0.0,98.4778,0.0,110.4,1
ColorJitter,0.5359,0.5616,39.6,0.0,67.4,0.0,95.8889,0.0,101.88,1
RandomRotation,0.1282,0.4576,39.4,0.0,68.0,0.0,98.6778,0.0,92.0,1
RandomGrayscale,0.5,0.2083,39.3,0.0,65.8,0.0,94.2,0.0,90.79,1
GaussianBlur,0.0984,0.3032,39.2,0.0,65.0,0.0,98.9556,0.0,111.84,1
RandomRotation,0.2298,0.276,39.2,0.0,66.9,0.0,99.2,0.0,92.15,1
RandomRotation,0.3322,0.5342,39.1,0.0,64.3,0.0,96.5778,0.0,92.93,1
RandomErasing,0.1622,0.5072,39.1,0.0,67.8,0.0,97.8111,0.0,98.37,1
ColorJitter,0.8102,0.4083,39.1,0.0,66.3,0.0,93.9444,0.0,97.49,1
RandomRotation,0.1656,0.6422,39.0,0.0,65.5,0.0,99.0444,0.0,92.45,1
GaussianNoise,0.0482,0.8634,39.0,0.0,65.9,0.0,99.5333,0.0,94.53,1
RandomResizedCrop,0.4409,0.7695,38.9,0.0,64.2,0.0,96.7889,0.0,93.49,1
RandomResizedCrop,0.8114,0.6957,38.9,0.0,66.6,0.0,91.5444,0.0,93.52,1
RandomRotation,0.0763,0.3667,38.7,0.0,67.0,0.0,99.3222,0.0,91.7,1
RandomResizedCrop,0.6997,0.518,38.5,0.0,65.0,0.0,94.9889,0.0,90.77,1
RandomResizedCrop,0.5309,0.6198,38.5,0.0,64.7,0.0,97.4444,0.0,93.0,1
RandomResizedCrop,0.7654,0.6342,38.4,0.0,66.7,0.0,92.8222,0.0,92.4,1
RandomResizedCrop,0.5822,0.7422,38.4,0.0,65.7,0.0,96.6667,0.0,95.47,1
RandomResizedCrop,0.9289,0.4557,38.4,0.0,66.0,0.0,88.8556,0.0,90.79,1
RandomResizedCrop,0.6647,0.6476,38.3,0.0,66.6,0.0,95.0444,0.0,92.22,1
RandomPerspective,0.1724,0.5072,38.3,0.0,64.9,0.0,99.3444,0.0,108.18,1
GaussianNoise,0.2029,0.7171,38.2,0.0,67.6,0.0,98.8,0.0,94.22,1
RandomResizedCrop,0.8883,0.3903,38.2,0.0,66.8,0.0,91.0222,0.0,89.94,1
RandomResizedCrop,0.6371,0.7072,38.2,0.0,65.3,0.0,95.8556,0.0,94.52,1
RandomRotation,0.0126,0.4848,38.1,0.0,66.2,0.0,99.3444,0.0,92.46,1
RandomResizedCrop,0.7396,0.3275,38.1,0.0,66.4,0.0,92.2222,0.0,87.6,1
GaussianNoise,0.2546,0.333,38.1,0.0,65.0,0.0,97.3,0.0,91.24,1
GaussianBlur,0.0126,0.4848,38.1,0.0,66.2,0.0,99.3444,0.0,123.06,1
RandomResizedCrop,0.8626,0.572,38.0,0.0,67.5,0.0,90.6111,0.0,91.29,1
RandomResizedCrop,0.7822,0.4827,38.0,0.0,65.2,0.0,92.0111,0.0,91.1,1
RandomResizedCrop,0.9109,0.6617,38.0,0.0,66.8,0.0,88.5444,0.0,92.3,1
RandomResizedCrop,0.5942,0.5294,37.9,0.0,65.9,0.0,96.8,0.0,91.78,1
RandomGrayscale,0.5,0.166,37.9,0.0,64.9,0.0,93.1667,0.0,91.11,1
RandomResizedCrop,0.868,0.355,37.7,0.0,66.3,0.0,89.8,0.0,91.3,1
RandomResizedCrop,0.7105,0.5989,37.7,0.0,64.4,0.0,94.0667,0.0,93.62,1
RandomResizedCrop,0.4193,0.3133,37.5,0.0,64.5,0.0,98.4333,0.0,88.45,1
RandomPerspective,0.2258,0.3989,37.4,0.0,66.5,0.0,99.1889,0.0,104.6,1
RandomResizedCrop,0.6877,0.7854,37.4,0.0,65.3,0.0,92.4778,0.0,95.59,1
RandomResizedCrop,0.5701,0.341,37.4,0.0,64.5,0.0,96.9111,0.0,89.0,1
RandomResizedCrop,0.4636,0.5017,37.4,0.0,64.2,0.0,98.0889,0.0,90.52,1
RandomResizedCrop,0.4894,0.6795,37.4,0.0,64.8,0.0,97.7111,0.0,95.43,1
RandomResizedCrop,0.6528,0.376,37.4,0.0,65.1,0.0,95.8778,0.0,89.86,1
GaussianBlur,0.4255,0.255,37.3,0.0,64.7,0.0,99.3444,0.0,107.31,1
RandomResizedCrop,0.7535,0.4172,37.2,0.0,66.3,0.0,94.0889,0.0,88.81,1
GaussianBlur,0.2407,0.5476,36.6,0.0,66.5,0.0,97.4111,0.0,126.3,1
RandomResizedCrop,0.541,0.5576,36.6,0.0,64.7,0.0,97.7444,0.0,91.37,1
