phase,op_name,magnitude,probability,seed,fold_idx,val_acc,val_loss,top5_acc,train_acc,train_loss,epochs_run,best_epoch,early_stopped,runtime_sec,timestamp,error,stable_score
PhaseC,ColorJitter,0.258,0.424,42,0,40.1,2.686236,65.7,98.2222,0.156613,200,188,False,185.01,2025-12-27T20:19:47,,-1.0
PhaseC,ColorJitter,0.258,0.424,123,0,40.4,2.663452,66.8,99.0222,0.123796,200,195,False,182.01,2025-12-27T20:22:49,,-1.0
PhaseC,ColorJitter,0.258,0.424,456,0,41.1,2.621325,67.8,98.8667,0.122136,200,196,False,181.47,2025-12-27T20:25:50,,-1.0
PhaseC,ColorJitter+RandomPerspective,0.258+0.340,0.635+0.178,42,0,39.8,2.693354,68.1,94.3333,0.308564,200,184,False,207.96,2025-12-27T20:29:18,,-1.0
PhaseC,ColorJitter+RandomPerspective,0.258+0.340,0.635+0.178,123,0,39.6,2.650995,67.5,97.4889,0.18864,200,191,False,208.1,2025-12-27T20:32:46,,-1.0
PhaseC,ColorJitter+RandomPerspective,0.258+0.340,0.635+0.178,456,0,39.8,2.671519,66.0,97.3222,0.196488,200,192,False,208.11,2025-12-27T20:36:15,,-1.0
PhaseC,ColorJitter+RandomRotation,0.258+0.379,0.375+0.520,42,0,38.0,2.756162,67.0,97.5667,0.182888,200,196,False,185.98,2025-12-27T20:39:21,,-1.0
PhaseC,ColorJitter+RandomRotation,0.258+0.379,0.375+0.520,123,0,40.4,2.681332,65.2,96.2444,0.237995,200,190,False,186.32,2025-12-27T20:42:27,,-1.0
PhaseC,ColorJitter+RandomRotation,0.258+0.379,0.375+0.520,456,0,40.8,2.640275,66.9,97.7111,0.19187,200,196,False,186.34,2025-12-27T20:45:34,,-1.0
PhaseC,ColorJitter+GaussianNoise,0.258+0.095,0.445+0.460,42,0,41.1,2.610291,68.2,98.9222,0.125075,200,200,False,190.9,2025-12-27T20:48:44,,-1.0
PhaseC,ColorJitter+GaussianNoise,0.258+0.095,0.445+0.460,123,0,41.0,2.613491,67.5,98.9889,0.123441,200,200,False,190.53,2025-12-27T20:51:55,,-1.0
PhaseC,ColorJitter+GaussianNoise,0.258+0.095,0.445+0.460,456,0,40.8,2.609241,68.4,99.0556,0.124255,200,195,False,189.43,2025-12-27T20:55:05,,-1.0
PhaseC,ColorJitter+RandomErasing,0.258+0.058,0.522+0.372,42,0,40.4,2.703128,67.9,97.1111,0.206959,200,196,False,201.54,2025-12-27T20:58:26,,-1.0
PhaseC,ColorJitter+RandomErasing,0.258+0.058,0.522+0.372,123,0,16.6,3.53728,42.6,16.7444,3.427669,88,28,True,91.84,2025-12-27T20:59:58,,-1.0
PhaseC,ColorJitter+RandomErasing,0.258+0.058,0.522+0.372,456,0,40.2,2.682595,66.4,96.0333,0.257228,200,189,False,201.24,2025-12-27T21:03:19,,-1.0
PhaseC,ColorJitter+GaussianBlur,0.258+0.081,0.372+0.523,42,0,40.7,2.613269,66.0,98.6111,0.136626,200,192,False,261.25,2025-12-27T21:07:41,,-1.0
PhaseC,ColorJitter+GaussianBlur,0.258+0.081,0.372+0.523,123,0,40.7,2.615952,67.4,98.7778,0.131464,200,195,False,261.3,2025-12-27T21:12:02,,-1.0
PhaseC,ColorJitter+GaussianBlur,0.258+0.081,0.372+0.523,456,0,40.9,2.607409,67.5,98.7889,0.134582,200,193,False,260.89,2025-12-27T21:16:23,,-1.0
PhaseC,ColorJitter+RandomGrayscale,0.258+0.500,0.594+0.261,42,0,39.2,2.75773,64.6,85.1,0.639169,200,183,False,194.71,2025-12-27T21:19:38,,-1.0
PhaseC,ColorJitter+RandomGrayscale,0.258+0.500,0.594+0.261,123,0,39.9,2.666938,65.1,91.6,0.417123,200,193,False,195.17,2025-12-27T21:22:53,,-1.0
PhaseC,ColorJitter+RandomGrayscale,0.258+0.500,0.594+0.261,456,0,40.1,2.617566,66.0,88.8444,0.506739,200,187,False,194.63,2025-12-27T21:26:08,,-1.0
PhaseC,ColorJitter+RandomResizedCrop,0.258+0.441,0.379+0.517,42,0,36.7,2.753385,65.6,98.0,0.137977,200,191,False,184.5,2025-12-27T21:29:13,,-1.0
PhaseC,ColorJitter+RandomResizedCrop,0.258+0.441,0.379+0.517,123,0,38.5,2.765411,64.2,97.8556,0.148364,200,191,False,183.83,2025-12-27T21:32:16,,-1.0
PhaseC,ColorJitter+RandomResizedCrop,0.258+0.441,0.379+0.517,456,0,39.1,2.697513,64.8,98.1333,0.134791,200,197,False,184.27,2025-12-27T21:35:21,,-1.0
