phase,op_name,magnitude,probability,seed,fold_idx,val_acc,val_loss,top5_acc,train_acc,train_loss,epochs_run,best_epoch,early_stopped,runtime_sec,timestamp,error,stable_score
PhaseD,Baseline,N/A,N/A,42,0,39.5,2.672337,67.3,99.6,0.094637,200,195,False,163.96,2025-12-27T21:38:08,,-1.0
PhaseD,Baseline,N/A,N/A,42,1,40.5,2.671664,66.1,99.6667,0.0899,200,196,False,161.94,2025-12-27T21:40:50,,-1.0
PhaseD,Baseline,N/A,N/A,42,2,40.7,2.601981,67.6,99.5111,0.090676,200,198,False,161.97,2025-12-27T21:43:32,,-1.0
PhaseD,Baseline,N/A,N/A,42,3,40.5,2.680555,64.9,99.0556,0.121989,200,187,False,161.74,2025-12-27T21:46:14,,-1.0
PhaseD,Baseline,N/A,N/A,42,4,38.3,2.775922,65.4,99.1556,0.118753,200,188,False,161.34,2025-12-27T21:48:55,,-1.0
PhaseD,Baseline-NoAug,N/A,N/A,42,0,29.8,3.165904,56.5,99.9222,0.043378,200,148,False,142.24,2025-12-27T21:51:18,,-1.0
PhaseD,Baseline-NoAug,N/A,N/A,42,1,30.7,3.214506,51.8,100.0,0.042543,200,185,False,143.03,2025-12-27T21:53:41,,-1.0
PhaseD,Baseline-NoAug,N/A,N/A,42,2,32.7,3.07683,55.0,100.0,0.042616,200,199,False,142.95,2025-12-27T21:56:04,,-1.0
PhaseD,Baseline-NoAug,N/A,N/A,42,3,28.3,3.193169,53.0,99.9889,0.040966,200,170,False,142.77,2025-12-27T21:58:27,,-1.0
PhaseD,Baseline-NoAug,N/A,N/A,42,4,23.9,3.340857,51.4,45.7556,2.037763,127,67,True,92.45,2025-12-27T21:59:59,,-1.0
PhaseD,RandAugment,N/A,N/A,42,0,42.5,2.350961,69.8,68.2333,1.274347,200,195,False,219.09,2025-12-27T22:03:38,,-1.0
PhaseD,RandAugment,N/A,N/A,42,1,41.6,2.334988,69.4,70.1222,1.211283,200,197,False,219.7,2025-12-27T22:07:18,,-1.0
PhaseD,RandAugment,N/A,N/A,42,2,42.9,2.315812,70.4,67.5778,1.289895,200,194,False,219.66,2025-12-27T22:10:58,,-1.0
PhaseD,RandAugment,N/A,N/A,42,3,40.6,2.342659,71.8,69.9667,1.223804,200,196,False,218.95,2025-12-27T22:14:37,,-1.0
PhaseD,RandAugment,N/A,N/A,42,4,43.6,2.378576,68.9,67.7222,1.282993,200,193,False,219.4,2025-12-27T22:18:16,,-1.0
PhaseD,Cutout,N/A,N/A,42,0,37.5,2.65599,66.3,69.7111,1.236452,200,194,False,191.88,2025-12-27T22:21:28,,-1.0
PhaseD,Cutout,N/A,N/A,42,1,35.5,2.771673,62.8,64.6667,1.388221,200,188,False,190.89,2025-12-27T22:24:39,,-1.0
PhaseD,Cutout,N/A,N/A,42,2,36.8,2.682399,64.6,71.6111,1.170475,200,194,False,191.91,2025-12-27T22:27:51,,-1.0
PhaseD,Cutout,N/A,N/A,42,3,34.5,2.784328,63.8,68.3444,1.269048,200,192,False,191.8,2025-12-27T22:31:03,,-1.0
PhaseD,Cutout,N/A,N/A,42,4,37.0,2.69381,63.9,74.0111,1.079749,200,197,False,191.87,2025-12-27T22:34:15,,-1.0
PhaseD,Best_SingleOp,N/A,N/A,42,0,40.1,2.686236,65.7,98.2222,0.156613,200,188,False,181.37,2025-12-27T22:37:17,,-1.0
PhaseD,Best_SingleOp,N/A,N/A,42,1,42.1,2.625718,67.7,98.7778,0.134623,200,192,False,181.91,2025-12-27T22:40:19,,-1.0
PhaseD,Best_SingleOp,N/A,N/A,42,2,40.6,2.58164,66.9,98.9,0.129512,200,193,False,181.15,2025-12-27T22:43:20,,-1.0
PhaseD,Best_SingleOp,N/A,N/A,42,3,40.5,2.62862,66.6,98.8333,0.13801,200,191,False,181.63,2025-12-27T22:46:22,,-1.0
PhaseD,Best_SingleOp,N/A,N/A,42,4,40.4,2.78016,65.3,98.7667,0.135296,200,191,False,181.43,2025-12-27T22:49:23,,-1.0
PhaseD,Ours_p1,0.2575,1.0,42,0,38.7,2.726545,66.2,96.5111,0.228638,200,185,False,206.69,2025-12-27T22:52:50,,-1.0
PhaseD,Ours_p1,0.2575,1.0,42,1,42.0,2.556249,68.0,98.9778,0.131923,200,200,False,205.61,2025-12-27T22:56:16,,-1.0
PhaseD,Ours_p1,0.2575,1.0,42,2,40.8,2.585187,67.4,98.5889,0.139593,200,198,False,206.26,2025-12-27T22:59:42,,-1.0
PhaseD,Ours_p1,0.2575,1.0,42,3,39.1,2.645335,67.7,98.7333,0.13694,200,200,False,206.27,2025-12-27T23:03:08,,-1.0
PhaseD,Ours_p1,0.2575,1.0,42,4,40.0,2.673799,65.7,97.7444,0.17704,200,188,False,205.37,2025-12-27T23:06:34,,-1.0
PhaseD,Ours_optimal,0.2575,0.4239,42,0,40.1,2.686236,65.7,98.2222,0.156613,200,188,False,182.19,2025-12-27T23:09:36,,-1.0
PhaseD,Ours_optimal,0.2575,0.4239,42,1,42.1,2.625718,67.7,98.7778,0.134623,200,192,False,183.91,2025-12-27T23:12:40,,-1.0
PhaseD,Ours_optimal,0.2575,0.4239,42,2,40.6,2.58164,66.9,98.9,0.129512,200,193,False,183.9,2025-12-27T23:15:44,,-1.0
PhaseD,Ours_optimal,0.2575,0.4239,42,3,40.5,2.62862,66.6,98.8333,0.13801,200,191,False,183.97,2025-12-27T23:18:48,,-1.0
PhaseD,Ours_optimal,0.2575,0.4239,42,4,40.4,2.78016,65.3,98.7667,0.135296,200,191,False,185.28,2025-12-27T23:21:53,,-1.0
