phase,op_name,magnitude,probability,seed,fold_idx,val_acc,val_loss,top5_acc,train_acc,train_loss,epochs_run,best_epoch,early_stopped,runtime_sec,timestamp,error
PhaseA,RandomResizedCrop,0.5586,0.7072,42,0,37.6,3.044835,62.9,96.2889,1.002115,200,186,False,179.51,2025-12-25T20:51:05,
PhaseA,RandomResizedCrop,0.8769,0.4557,42,0,38.7,2.946247,66.5,90.5,1.187703,200,192,False,169.85,2025-12-25T20:53:55,
PhaseA,RandomResizedCrop,0.6387,0.5989,42,0,39.7,2.969099,65.6,96.2333,1.001719,200,199,False,173.77,2025-12-25T20:56:49,
PhaseA,RandomResizedCrop,0.321,0.3133,42,0,36.4,3.118374,62.6,99.3444,0.859627,200,199,False,166.61,2025-12-25T20:59:35,
PhaseA,RandomResizedCrop,0.4428,0.6198,42,0,39.5,3.060815,64.6,97.6556,0.958779,200,182,False,172.65,2025-12-25T21:02:28,
PhaseA,RandomResizedCrop,0.6857,0.4172,42,0,37.5,3.009095,66.5,95.4222,1.011801,200,200,False,169.62,2025-12-25T21:05:18,
PhaseA,RandomResizedCrop,0.755,0.7584,42,0,38.0,2.97226,67.7,93.1667,1.122493,200,192,False,177.5,2025-12-25T21:08:15,
PhaseA,RandomResizedCrop,0.5118,0.5294,42,0,37.9,3.0781,64.2,95.8778,1.017358,200,179,False,171.21,2025-12-25T21:11:06,
PhaseA,RandomResizedCrop,0.4539,0.5576,42,0,39.5,3.039377,65.2,97.4,0.963085,200,182,False,173.26,2025-12-25T21:14:00,
PhaseA,RandomResizedCrop,0.8106,0.355,42,0,38.6,3.027308,64.0,90.7333,1.181434,200,181,False,169.03,2025-12-25T21:16:49,
PhaseA,RandomResizedCrop,0.7487,0.6957,42,0,38.1,3.027233,64.2,93.6778,1.099986,200,193,False,174.81,2025-12-25T21:19:44,
PhaseA,RandomResizedCrop,0.3915,0.4667,42,0,38.5,3.021117,64.9,98.7778,0.891904,200,194,False,172.39,2025-12-25T21:22:36,
PhaseA,RandomResizedCrop,0.3446,0.7695,42,0,38.2,3.058674,64.8,99.3,0.886098,200,192,False,177.56,2025-12-25T21:25:34,
PhaseA,RandomResizedCrop,0.6269,0.518,42,0,38.3,3.028787,64.7,96.4111,0.992991,200,193,False,172.69,2025-12-25T21:28:26,
PhaseA,RandomResizedCrop,0.8574,0.6617,42,0,39.3,2.940304,68.3,91.4889,1.177245,200,197,False,174.39,2025-12-25T21:31:21,
PhaseA,RandomResizedCrop,0.5758,0.376,42,0,38.0,3.027067,64.7,97.4222,0.945775,200,196,False,170.29,2025-12-25T21:34:11,
PhaseA,RandomResizedCrop,0.5888,0.6476,42,0,37.9,3.014153,64.6,97.2222,0.97028,200,200,False,175.63,2025-12-25T21:37:07,
PhaseA,RandomResizedCrop,0.8327,0.3903,42,0,39.2,3.004862,64.9,92.2889,1.120371,200,190,False,169.92,2025-12-25T21:39:57,
PhaseA,RandomResizedCrop,0.6139,0.7854,42,0,38.2,3.058943,64.1,96.4222,1.011015,200,192,False,177.08,2025-12-25T21:42:54,
