phase,op_name,magnitude,probability,seed,fold_idx,val_acc,val_loss,top5_acc,train_acc,train_loss,epochs_run,best_epoch,early_stopped,runtime_sec,timestamp,error
PhaseB,RandomResizedCrop,0.6387,0.5989,42,0,39.2,2.997737,64.5,96.5,0.999242,200,196,False,111.8,2025-12-26T00:47:05,
PhaseB,RandomResizedCrop,0.3915,0.4667,42,0,39.3,3.03382,64.3,98.6,0.904715,200,190,False,112.49,2025-12-26T00:48:57,
PhaseB,RandomResizedCrop,0.5118,0.5294,42,0,38.5,3.013678,65.8,97.3444,0.963087,200,190,False,113.12,2025-12-26T00:50:51,
PhaseB,RandomResizedCrop,0.6139,0.7854,42,0,38.1,2.996929,65.7,96.5778,0.99943,200,196,False,114.8,2025-12-26T00:52:45,
PhaseB,RandomResizedCrop,0.4181,0.4032,42,0,38.4,3.043727,64.1,98.4889,0.901986,200,193,False,109.87,2025-12-26T00:54:35,
PhaseB,RandomResizedCrop,0.7169,0.4827,42,0,37.4,3.012981,65.1,90.8889,1.184232,200,178,False,110.91,2025-12-26T00:56:26,
PhaseB,RandomPerspective,0.0488,0.4036,42,0,40.3,2.988625,65.4,99.5556,0.908726,200,192,False,116.05,2025-12-26T00:47:59,
PhaseB,RandomPerspective,0.0591,0.1826,42,0,38.9,2.984447,65.8,99.5667,0.902456,200,199,False,113.6,2025-12-26T00:49:52,
PhaseB,RandomPerspective,0.0458,0.2333,42,0,39.4,2.946088,67.3,99.5,0.905825,200,199,False,115.77,2025-12-26T00:51:48,
PhaseB,RandomPerspective,0.0714,0.3559,42,0,38.8,3.021193,65.5,99.3222,0.923384,200,188,False,116.08,2025-12-26T00:53:44,
PhaseB,RandomPerspective,0.1928,0.1938,42,0,39.9,3.032344,64.1,98.6667,0.95083,200,187,False,111.46,2025-12-26T00:55:36,
PhaseB,ColorJitter,0.4814,0.4616,42,0,41.0,2.95236,66.0,97.8,0.994931,200,198,False,106.07,2025-12-26T00:57:22,
PhaseB,GaussianBlur,0.1059,0.3835,42,0,39.1,3.043153,64.5,99.0111,0.934988,200,187,False,117.54,2025-12-26T00:49:06,
PhaseB,GaussianBlur,0.2244,0.5165,42,0,39.2,3.026639,63.7,99.4556,0.917836,200,198,False,121.01,2025-12-26T00:51:07,
PhaseB,GaussianBlur,0.2275,0.5667,42,0,38.3,3.035263,63.7,99.4667,0.913357,200,194,False,122.88,2025-12-26T00:53:10,
PhaseB,GaussianBlur,0.0105,0.2106,42,0,40.2,2.958181,65.5,99.5222,0.912467,200,192,False,111.87,2025-12-26T00:55:02,
PhaseB,GaussianBlur,0.0223,0.5756,42,0,40.5,2.986188,66.2,99.0444,0.93005,200,188,False,117.56,2025-12-26T00:56:59,
PhaseB,GaussianBlur,0.1635,0.3744,42,0,39.0,3.002161,65.0,99.3556,0.911047,200,196,False,85.92,2025-12-26T00:58:25,
PhaseB,GaussianNoise,0.0834,0.7634,42,0,39.7,3.00967,64.4,99.4111,0.912299,200,195,False,114.15,2025-12-26T00:47:20,
PhaseB,RandomErasing,0.1328,0.3653,42,0,39.8,2.977417,66.5,98.6333,0.965136,200,195,False,113.18,2025-12-26T00:49:13,
PhaseB,RandomErasing,0.237,0.3374,42,0,41.8,2.938751,67.5,97.7444,0.997366,200,194,False,115.24,2025-12-26T00:51:08,
PhaseB,GaussianNoise,0.0658,0.2159,42,0,39.2,2.973487,65.5,99.4667,0.916077,200,190,False,115.92,2025-12-26T00:53:04,
PhaseB,GaussianNoise,0.3913,0.7501,42,0,37.9,3.048697,65.3,99.1778,0.930694,200,192,False,110.23,2025-12-26T00:54:54,
PhaseB,GaussianNoise,0.4495,0.3083,42,0,38.9,2.993791,65.3,99.3889,0.916556,200,194,False,112.62,2025-12-26T00:56:47,
