phase,op_name,magnitude,probability,seed,fold_idx,val_acc,val_loss,top5_acc,train_acc,train_loss,epochs_run,best_epoch,early_stopped,runtime_sec,timestamp,error
PhaseD,Baseline,N/A,N/A,42,0,39.0,2.971303,66.5,99.7,0.899665,200,200,False,160.32,2025-12-26T01:40:39,
PhaseD,Baseline,N/A,N/A,42,1,41.6,2.941049,62.9,99.5889,0.904972,200,195,False,188.84,2025-12-26T01:43:47,
PhaseD,RandAugment,N/A,N/A,42,0,41.7,2.793009,68.5,69.1556,1.861365,200,195,False,195.33,2025-12-26T01:47:03,
PhaseD,RandAugment,N/A,N/A,42,1,41.9,2.805421,68.7,70.0333,1.855418,200,194,False,203.6,2025-12-26T01:50:26,
PhaseD,Cutout,N/A,N/A,42,0,36.5,3.041246,65.1,67.9111,1.91411,200,192,False,181.91,2025-12-26T01:53:28,
PhaseD,Cutout,N/A,N/A,42,1,36.6,3.004035,64.5,73.7778,1.751925,200,197,False,127.67,2025-12-26T01:55:36,
PhaseD,Ours_p1,0.237+0.0834,1.0+1.0,42,0,38.0,3.040958,65.0,96.2333,1.071311,200,197,False,127.28,2025-12-26T01:57:43,
PhaseD,Ours_p1,0.237+0.0834,1.0+1.0,42,1,39.1,3.020072,64.6,94.3111,1.124717,200,190,False,125.7,2025-12-26T01:59:49,
PhaseD,Ours_optimal,0.237+0.0834,0.3374+0.7634,42,0,39.6,2.992139,65.2,97.8111,0.991357,200,196,False,124.57,2025-12-26T02:01:54,
PhaseD,Ours_optimal,0.237+0.0834,0.3374+0.7634,42,1,40.6,2.945896,66.0,98.0778,0.982157,200,199,False,124.06,2025-12-26T02:03:58,
PhaseD,Baseline,N/A,N/A,42,2,41.1,2.926591,66.2,99.6444,0.901684,200,199,False,165.16,2025-12-26T01:40:43,
PhaseD,RandAugment,N/A,N/A,42,2,43.8,2.71486,71.0,70.7444,1.839401,200,200,False,201.57,2025-12-26T01:44:05,
PhaseD,Cutout,N/A,N/A,42,2,36.6,3.069107,63.1,70.3556,1.857958,200,194,False,194.13,2025-12-26T01:47:19,
PhaseD,Ours_p1,0.237+0.0834,1.0+1.0,42,2,38.4,3.017259,64.9,93.9667,1.136495,200,189,False,202.14,2025-12-26T01:50:41,
PhaseD,Ours_optimal,0.237+0.0834,0.3374+0.7634,42,2,39.1,2.931496,66.2,98.1556,0.974207,200,199,False,183.36,2025-12-26T01:53:45,
PhaseD,Baseline,N/A,N/A,42,3,39.9,3.015711,64.6,99.6667,0.899493,200,198,False,161.32,2025-12-26T01:40:39,
PhaseD,RandAugment,N/A,N/A,42,3,43.3,2.714565,71.9,68.1667,1.904938,200,195,False,195.65,2025-12-26T01:43:55,
PhaseD,Cutout,N/A,N/A,42,3,36.5,3.010303,64.8,70.4222,1.858306,200,194,False,187.57,2025-12-26T01:47:03,
PhaseD,Ours_p1,0.237+0.0834,1.0+1.0,42,3,37.7,3.052831,63.7,95.6222,1.094391,200,192,False,198.25,2025-12-26T01:50:21,
PhaseD,Ours_optimal,0.237+0.0834,0.3374+0.7634,42,3,39.5,2.970637,65.4,97.7778,0.983996,200,196,False,179.87,2025-12-26T01:53:21,
PhaseD,Baseline,N/A,N/A,42,4,38.4,3.058931,62.5,98.2444,0.974194,200,182,False,166.43,2025-12-26T01:40:45,
PhaseD,RandAugment,N/A,N/A,42,4,41.8,2.802896,68.9,69.0889,1.872956,200,194,False,204.86,2025-12-26T01:44:09,
PhaseD,Cutout,N/A,N/A,42,4,38.4,3.026586,63.6,71.9333,1.796123,200,198,False,195.73,2025-12-26T01:47:25,
PhaseD,Ours_p1,0.237+0.0834,1.0+1.0,42,4,36.7,3.082486,63.0,93.7778,1.148543,200,188,False,204.56,2025-12-26T01:50:50,
PhaseD,Ours_optimal,0.237+0.0834,0.3374+0.7634,42,4,38.9,3.058935,63.9,91.0333,1.203854,200,180,False,183.49,2025-12-26T01:53:53,
